Stage,Winner,General classification,Best foreign rider,Best isolati rider,Team classification,Il Trofeo Magno
1,Learco Guerra,Learco Guerra,Kurt Stöpel,?,?,?
2,Hermann Buse,Hermann Buse,Hermann Buse,?,?,?
3,Fabio Battesini,Hermann Buse,Hermann Buse,Carniselli,Atala-Hutchinson,Lombardia
4,Learco Guerra,Hermann Buse,Hermann Buse,"Aristide Cavallini, Marco Giuntelli, Angelo Lalle, & Vitali",Atala-Hutchinson,Lombardia
5,Raffaele Di Paco,Hermann Buse,Hermann Buse,Aristide Cavallini & Vitali,Atala-Hutchinson,Lombardia
6,Learco Guerra,Hermann Buse,Hermann Buse,Luigi Tramontini,?,?
7,Antonio Pesenti,Antonio Pesenti,Kurt Stöpel,Francesco Bonino,Legnano-Hutchinson,Piemonte
8,Learco Guerra,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,Piemonte
9,Learco Guerra,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,?
10,Alfredo Binda,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,?
11,Fernand Cornez,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,?
12,Giuseppe Olmo,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,Calabria-Sicilia
13,Learco Guerra,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,Calabria-Sicilia
Final,Final,Antonio Pesenti,Jef Demuysere,Aristide Cavallini,Legnano-Hutchinson,Calabria-Sicilia
