Stage,Winner,General classification,Best foreign rider,Best independent rider,Best isolati rider,Mountains classification,Team classification,Il Trofeo Magno
1,Learco Guerra,Learco Guerra,Jef Demuysere,Camillo Erba,Renato Scorticati,not awarded,Ganna,Lombardia
2,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Giovanni Cazzuliani,not awarded,Ganna,Lombardia
3,Learco Guerra,Alfredo Binda,Jef Demuysere,Carlo Moretti,Giovanni Cazzuliani,not awarded,Ganna,Lombardia
4,Giuseppe Olmo,Alfredo Binda,Jef Demuysere,Carlo Moretti,Giovanni Cazzuliani,not awarded,Ganna,Lombardia
5,Learco Guerra,Jef Demuysere,Jef Demuysere,Carlo Moretti,Giovanni Cazzuliani,Alfredo Binda,Legnano,Lombardia
6,Mario Cipriani,Jef Demuysere,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
7,Gerard Loncke,Jef Demuysere,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
8,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Marco Giuntelli,Alfredo Binda,Legnano,Piemonte
9,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Lombardia
10,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Antonio Folco,Alfredo Binda,Legnano,Piemonte
11,Fernand Cornez,Alfredo Binda,Jef Demuysere,Carlo Moretti,Antonio Folco,Alfredo Binda,Legnano,Piemonte
12,Giuseppe Olmo,Alfredo Binda,Jef Demuysere,Carlo Moretti,Antonio Folco,Alfredo Binda,Legnano,Piemonte
13,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
14,Ettore Meini,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
15,Ettore Meini,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
16,Gerard Loncke,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
17,Alfredo Binda,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
Final,Final,Alfredo Binda,Jef Demuysere,Carlo Moretti,Camillo Erba,Alfredo Binda,Legnano,Piemonte
