Stage,Winner,General classification,Best foreign rider,Best isolati rider,Mountains classification,Team classification,Il Trofeo Magno
1,Francesco Camusso,Francesco Camusso,Félicien Vervaecke,Rinaldo Gerini,not awarded,?,?
2,Learco Guerra,Francesco Camusso,Eugene Le Goff,Rinaldo Gerini,not awarded,Bianchi,Piemonte
3,Learco Guerra,Francesco Camusso,Eugene Le Goff,Rinaldo Gerini,not awarded,?,Piemonte
4,Learco Guerra,Learco Guerra,Emile Decroix,Augusto Como,not awarded,Legnano,Piemonte
5,Learco Guerra,Learco Guerra,Emile Decroix,Eugenio Gestri,Remo Bertoni,?,Piemonte
6,Learco Guerra,Learco Guerra,Emile Decroix,Eugenio Gestri,Remo Bertoni,Maino,Piemonte
7,Adriano Vignoli,Learco Guerra,Albert Büchi,Adriano Vignoli,Remo Bertoni,Maino,Emilia
8,Félicien Vervaecke,Giuseppe Olmo,Jef Demuysere,Renato Scorticati,Remo Bertoni,Maino,Emilia
9,Learco Guerra,Learco Guerra,Emile Decroix,Giovanni Gotti,Remo Bertoni,Maino,Emilia
10,Learco Guerra,Learco Guerra,Emile Decroix,Giovanni Gotti,Remo Bertoni,Maino,Emilia
11,Learco Guerra,Learco Guerra,Emile Decroix,Giovanni Gotti,Remo Bertoni,Maino,Emilia
12,Learco Guerra,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Maino,Emilia
13,Giuseppe Olmo,Francesco Camusso,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
14,Learco Guerra,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
15,Fabio Battesini,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
16,Giuseppe Olmo,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
17,Giuseppe Olmo,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
Final,Final,Learco Guerra,Jef Demuysere,Giovanni Gotti,Remo Bertoni,Gloria,Emilia
