Stage,Winner,General classification,Best foreign rider,Best isolati rider,Mountains classification,Team classification
1,Vasco Bergamaschi,Vasco Bergamaschi,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Maino
2,Domenico Piemontesi,Domenico Piemontesi,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Maino
3,Learco Guerra,Domenico Piemontesi,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Maino
4,Learco Guerra,Walter Fantini,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Gloria
5a,Giuseppe Olmo,Giuseppe Olmo,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Maino
5b,Antonio Folco,Giuseppe Olmo,Malachie Adrien Buttafochi,Armando Zucchini,not awarded,Maino
6,Gino Bartali,Vasco Bergamaschi,René Debenne,Ambrogio Morelli,Gino Bartali,Fréjus
7,Learco Guerra,Vasco Bergamaschi,René Debenne,Ambrogio Morelli,Gino Bartali,Fréjus
8,Learco Guerra,Vasco Bergamaschi,René Debenne,Ambrogio Morelli,Gino Bartali,Fréjus
9,Raffaele Di Paco,Vasco Bergamaschi,René Debenne,Ambrogio Morelli,Gino Bartali,Fréjus
10,Learco Guerra,Vasco Bergamaschi,René Debenne,Ambrogio Morelli,Gino Bartali,Fréjus
11,Vasco Bergamaschi,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
12,Giuseppe Olmo,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
13a,René Debenne,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
13b,Maurice Archambaud,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
14,Raffaele Di Paco,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
15,Giuseppe Olmo,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
16,Giuseppe Olmo,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
17,Raffaele Di Paco,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
18,Raffaele Di Paco,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
Final,Final,Vasco Bergamaschi,Maurice Archambaud,Ambrogio Morelli,Gino Bartali,Fréjus
