Stage,Winner,General classification,Best isolati rider,Mountains classification,Team classification
1,Giuseppe Olmo,Giuseppe Olmo,"Remo Bertoni, Isidoro Piubellini, Auguste Como, Luigi Macchi, Giuppono, and Eugenio Gestri",not awarded,?
2,Aldo Bini,Aldo Bini,"Remo Bertoni, Isidoro Piubellini, Luigi Macchi, and Eugenio Gestri",not awarded,?
3,Raffaele Di Paco,Aldo Bini,Isidoro Piubellini & Luigi Macchi,not awarded,?
4,Fabio Battesini,Aldo Bini,Isidoro Piubellini & Luigi Macchi,Gino Bartali,?
5,Giuseppe Olmo,Aldo Bini,Isidoro Piubellini,Gino Bartali,?
6,Giuseppe Olmo,Aldo Bini & Giuseppe Olmo[N 2],Isidoro Piubellini,Gino Bartali,?
7,Raffaele Di Paco,Giuseppe Olmo,Isidoro Piubellini,Gino Bartali,?
8,Olimpio Bizzi,Giuseppe Olmo,Isidoro Piubellini,Gino Bartali,?
9,Gino Bartali,Gino Bartali,Edoardo Molinar,Gino Bartali,?
10,Raffaele Di Paco,Gino Bartali,Edoardo Molinar,Gino Bartali,?
11,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,?
12,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
13,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Bianchi
14,Raffaele Di Paco,Gino Bartali,Edoardo Molinar,Gino Bartali,Bianchi
15a,Raffaele Di Paco,Gino Bartali,Edoardo Molinar,Gino Bartali,Bianchi
15b,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Bianchi
16,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Bianchi
17a,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
17b,Gino Bartali,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
18,Gino Bartali,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
19,Giuseppe Olmo,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
Final,Final,Gino Bartali,Edoardo Molinar,Gino Bartali,Legnano
