Stage,Winner,General classification,Liberi classification,Mountains classification,Team classification,Group classification
1,Nello Troggi,Nello Troggi,Nello Troggi,not awarded,Fréjus,?
2,Quirico Bernacchi,Quirico Bernacchi,Quirico Bernacchi & Giovanni Gotti,not awarded,Fréjus,?
3,Giovanni Valetti,Giovanni Valetti,Quirico Bernacchi,not awarded,Fréjus,?
4,Olimpio Bizzi,Giovanni Valetti,Bernardo Rogora,Enrico Mollo,Fréjus,?
5a,Legnano,Gino Bartali,Alfons Deloor,Enrico Mollo,Fréjus,?
5b,Olimpio Bizzi,Giovanni Valetti,Luigi Barral,Enrico Mollo,Fréjus,?
6,Giuseppe Olmo,Giovanni Valetti,Luigi Barral,Enrico Mollo,Fréjus,Bertoldo
7,Marco Cimatti,Giovanni Valetti,Luigi Barral,Enrico Mollo,Fréjus,Bertoldo
8a,Gino Bartali,Gino Bartali,Luigi Barral,Enrico Mollo & Gino Bartali,Fréjus,Bertoldo
8b,Raffaele Di Paco,Gino Bartali,Luigi Barral,Enrico Mollo,Fréjus,Bertoldo
9,Learco Guerra,Gino Bartali,Luigi Barral,Enrico Mollo,Fréjus,Bertoldo
10,Gino Bartali,Gino Bartali,Luigi Barral,Gino Bartali,Fréjus,Bertoldo
11a,Walter Generati,Gino Bartali,Luigi Barral,Gino Bartali,Fréjus,Bertoldo
11b,Cesare Del Cancia,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Bertoldo
12,Marco Cimatti,Gino Bartali,Edoardo Molinar,Enrico Mollo & Luigi Barral,Fréjus,Bertoldo
13,Aldo Bini,Gino Bartali,Luigi Barral,Enrico Mollo & Luigi Barral,Fréjus,Bertoldo
14,Aldo Bini,Gino Bartali,Luigi Barral,Enrico Mollo & Luigi Barral,Fréjus,Il Littoriale
15,Glauco Servadei,Gino Bartali,Edoardo Molinar,Enrico Mollo & Luigi Barral,Fréjus,Il Littoriale
16,Gino Bartali,Gino Bartali,Edoardo Molinar,Enrico Mollo & Gino Bartali,Fréjus,Il Littoriale
17,Gino Bartali,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Il Littoriale
18,Glauco Servadei,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Il Littoriale
19a,Marco Cimatti,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Il Littoriale
19b,Aldo Bini,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Il Littoriale
Final,Final,Gino Bartali,Edoardo Molinar,Gino Bartali,Fréjus,Il Littoriale
