Stage,Winner,General classification,Best isolati rider,Mountains classification,Team classification,Group classification
1,Marco Cimatti,Marco Cimatti,Edoardo Molinar,not awarded,Bianchi,Il Littoriale
2,Mario Vicini,Mario Vicini,Settimo Simonini,Mario Vicini,Bianchi,U.S. Canelli
3,Giovanni Gotti,Cesare Del Cancia,Settimo Simonini,Mario Vicini,Bianchi,Il Littoriale
4a,Giovanni Valetti,Cesare Del Cancia,Settimo Simonini,Mario Vicini,Bianchi,Dopolavoro Mater
4b,Walter Generati,Cesare Del Cancia,Settimo Simonini,Mario Vicini,Bianchi,Dopolavoro Mater
5,Salvatore Crippa,Cesare Del Cancia,Michele Benente,Giovanni Valetti,Bianchi,U.S. Canelli
6,Adolfo Leoni,Cesare Del Cancia,Michele Benente,Giovanni Valetti,Bianchi,Il Littoriale
7a,Giovanni Valetti,Cesare Del Cancia,Michele Benente,Giovanni Valetti,Bianchi,Il Littoriale
7b,Cino Cinelli,Cesare Del Cancia,Michele Benente,Giovanni Valetti,Bianchi,Il Littoriale
8,Raffaele Di Paco,Cesare Del Cancia,Michele Benente,Giovanni Valetti,Bianchi,Il Littoriale
9,Giordano Cottur,Giovanni Valetti,Michele Benente,Giovanni Valetti,Fréjus,Dopolavoro Mater
10,Raffaele Di Paco,Giovanni Valetti,Michele Benente,Giovanni Valetti,Fréjus,Il Littoriale
11,Cino Cinelli,Giovanni Valetti,Michele Benente,Giovanni Valetti,Fréjus,Il Littoriale
12,Raffaele Di Paco,Giovanni Valetti,Michele Benente,Giovanni Valetti,Fréjus,U.S. Canelli
13,Cesare Del Cancia,Giovanni Valetti,Michele Benente,Giovanni Valetti,Bianchi,U.S. Canelli
14,Olimpio Bizzi,Giovanni Valetti,Michele Benente,Giovanni Valetti,Bianchi,U.S. Canelli
15,Giovanni Valetti,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
16,Diego Marabelli,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
17,Cesare Del Cancia,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
18a,Leo Amberg,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
18b,Olimpio Bizzi,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
Final,Final,Giovanni Valetti,Settimo Simonini,Giovanni Valetti,Gloria-Ambrosiana,U.S. Canelli
