Stage,Winner,General classification,Mountains classification,Team classification,Group classification
1,Vasco Bergamaschi,Olimpio Bizzi,not awarded,?,?
2,Gino Bartali,Osvaldo Bailo,not awarded,?,?
3,Diego Marabelli,Osvaldo Bailo,not awarded,?,?
4,Adolfo Leoni,Pierino Favalli,not awarded,?,?
5,Adolfo Leoni,Pierino Favalli,not awarded,?,?
6,Glauco Servadei,Pierino Favalli,not awarded,Gloria,Cicli Viscontea
7,Walter Generati,Pierino Favalli,not awarded,Gloria,Cicli Viscontea
8,Olimpio Bizzi,Enrico Mollo,not awarded,Gloria,U.S. Azzini-Universal
9,Primo Volpi,Enrico Mollo,not awarded,Gloria,U.S. Azzini-Universal
10,Olimpio Bizzi,Enrico Mollo,Primo Volpi,Gloria,U.S. Azzini-Universal
11,Fausto Coppi,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
12,Adolfo Leoni,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
13,Olimpio Bizzi,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
14,Glauco Servadei,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
15,Mario Vicini,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
16,Mario Vicini,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
17,Gino Bartali,Fausto Coppi,Fausto Coppi,Gloria,U.S. Azzini-Universal
18,Glauco Servadei,Fausto Coppi,Gino Bartali & Fausto Coppi,Gloria,U.S. Azzini-Universal
19,Gino Bartali,Fausto Coppi,Gino Bartali,Gloria,U.S. Azzini-Universal
20,Adolfo Leoni,Fausto Coppi,Gino Bartali,Gloria,U.S. Azzini-Universal
Final,Final,Fausto Coppi,Gino Bartali,Gloria,U.S. Azzini-Universal
