Stage,Winner,General classification,Best Group rider classification,Mountains classification,Last in General classification,Team classification,Group classification
1,Giordano Cottur,Giordano Cottur,?,not awarded,Mario Spinazzi,?,?
2,Antonio Bevilacqua,Antonio Bevilacqua,Egidio Marangoni,not awarded,Elio Bertocchi,?,?
3,Adolfo Leoni,Antonio Bevilacqua,Egidio Marangoni,Serse Coppi,Elio Bertocchi,?,?
4a,Antonio Bevilacqu,Antonio Bevilacqua,?,Serse Coppi,?,?,?
4b,Fausto Coppi,Fermo Camellini,?,Gino Bartali,?,?,?
5a,Olimpio Bizzi,Fermo Camellini,?,Gino Bartali,?,Legnano,ENAL-Campari
5b,Aldo Bini,Fermo Camellini,Salvatore Crippa,Gino Bartali,Severino Canavesi,Legnano,ENAL-Campari
6,Vito Ortelli,Fermo Camellini,Salvatore Crippa,Gino Bartali,Severino Canavesi,?,?
7,Mario Ricci,Vito Ortelli,Salvatore Crippa,Gino Bartali,Severino Canavesi,?,?
8,Elio Bertocchi,Vito Ortelli,Salvatore Crippa,Gino Bartali,Enea Antolini,?,?
9,Aldo Baito,Vito Ortelli,Salvatore Crippa,Gino Bartali,Antonio Giauna,?,?
10,Renzo Zanazzi,Vito Ortelli,Salvatore Crippa,Gino Bartali,Leopoldo Ricci,?,?
11,Oreste Conte,Vito Ortelli,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
12,Stage Cancelled,Vito Ortelli,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
13,Fausto Coppi,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
14,Fausto Coppi,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
15,Aldo Ronconi,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
16a,Oreste Conte,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
16b,Elio Bertocchi,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,?,?
17,Oreste Conte,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,Legnano,?
Final,Final,Gino Bartali,Salvatore Crippa,Gino Bartali,Luigi Malabrocca,Legnano,?
