Stage,Winner,General classification,Mountains classification,Last in General classification,Team classification
1,Renzo Zanazzi,Renzo Zanazzi,not awarded,Ernesto Ciardossino,?
2,Gino Bartali,Renzo Zanazzi,not awarded,Armando Peverelli,?
3,Luciano Maggini,Renzo Zanazzi,Giovanni Corrieri,?,?
4,Fausto Coppi,Gino Bartali,Gino Bartali,Antonio Ausenda,Benotto
5a,Luciano Maggini,Gino Bartali,Gino Bartali,?,Benotto
5b,Renzo Zanazzi,Gino Bartali,Gino Bartali,?,Benotto
6,Giordano Cottur,Gino Bartali,Gino Bartali,Antonio Ausenda,Benotto
7,Oreste Conte,Gino Bartali,Gino Bartali,Antonio Ausenda,Benotto
8,Fausto Coppi,Gino Bartali,Gino Bartali,Antonio Ausenda,Benotto
9,Elio Bertocchi,Gino Bartali,Gino Bartali,Luigi Malabrocca,Welter
10,Mario Ricci,Gino Bartali,Gino Bartali,Luigi Malabrocca,
11,Oreste Conte,Gino Bartali,Gino Bartali,Luigi Malabrocca,
12,Giovanni Corrieri,Gino Bartali,Gino Bartali,Luigi Malabrocca,
13,Antonio Bevilacqua,Gino Bartali,Gino Bartali,Riccardo Sarti,
14,Adolfo Leoni,Gino Bartali,Gino Bartali,Luigi Malabrocca,
15,Gino Bartali,Gino Bartali,Gino Bartali,Riccardo Sarti,Welter
16,Fausto Coppi,Fausto Coppi,Gino Bartali,?,Welter
17,Adolfo Leoni,Fausto Coppi,Gino Bartali,?,Welter
18,Giulio Bresci,Fausto Coppi,Gino Bartali,?,Welter
19,Adolfo Leoni,Fausto Coppi,Gino Bartali,Luigi Malabrocca,Welter
Final,Final,Fausto Coppi,Gino Bartali,Luigi Malabrocca,Welter
