Stage,Winner,General classification,Best non-industrial team rider,Mountains classification,Last in General classification,Team classification
1,Mario Fazio,Mario Fazio,Mario Fazio,Mario Fazio,?,?
2,Sergio Maggini,Giordano Cottur,Andrea Carrea,Mario Fazio,Sante Carollo,?
3,Guido De Santi,Giordano Cottur,Andrea Carrea,Mario Fazio & Léon Jomaux,Sante Carollo,?
4,Fausto Coppi,Giordano Cottur,Mario Fazio,Mario Fazio & Léon Jomaux,Vitaliano Lazzerini,Wilier Triestina
5,Serafino Biagioni,Giordano Cottur,Mario Fazio,Mario Fazio & Léon Jomaux,Vitaliano Lazzerini,Wilier Triestina
6,Mario Ricci,Giordano Cottur,Mario Fazio,Mario Fazio & Léon Jomaux,Vitaliano Lazzerini,
7,Adolfo Leoni,Mario Fazio,Mario Fazio,Mario Fazio & Léon Jomaux,Vitaliano Lazzerini,
8,Luigi Casola,Mario Fazio,Mario Fazio,Mario Fazio & Léon Jomaux,Marcel Buysse,
9,Adolfo Leoni,Adolfo Leoni,Mario Fazio,Mario Fazio & Léon Jomaux,Sante Carollo,
10,Giovanni Corrieri,Adolfo Leoni,Mario Fazio,Mario Fazio & Léon Jomaux,Marcel Buysse,
11,Fausto Coppi,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
12,Oreste Conte,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
13,Adolfo Leoni,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
14,Vincenzo Rossello,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
15,Luciano Maggini,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
16,Oreste Conte,Adolfo Leoni,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
17,Fausto Coppi,Fausto Coppi,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
18,Antonio Bevilacqua,Fausto Coppi,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
19,Giovanni Corrieri,Fausto Coppi,Giancarlo Astrua,Fausto Coppi,Sante Carollo,
Final,Final,Fausto Coppi,Giancarlo Astrua,Fausto Coppi,Sante Carollo,Wilier Triestina
