Stage,Winner,General classification,Best foreign rider,Best independent rider,Mountains classification,Last in General classification,Team classification
1,Rik Van Steenbergen,Rik Van Steenbergen,Rik Van Steenbergen,Luciano Frosini,not awarded,?,?
2,Antonio Bevilacqua,Fiorenzo Magni,Raymond Impanis,Silvio Pedroni,Antonio Bevilacqua,Marcel Dupont,?
3,Rodolfo Falzoni,Fiorenzo Magni,Rik Van Steenbergen,Silvio Pedroni,Antonio Bevilacqua & Luciano Pezzi,Marcel Dupont,Girardengo
4,Guido De Santi,Fiorenzo Magni,Rik Van Steenbergen,Silvio Pedroni,Alfredo Pasotti,Marcel Dupont,Legnano
5,Pietro Giudici,Fritz Schär,Fritz Schär,Silvio Pedroni,Alfredo Pasotti,Marcel Dupont,Atala
6,Fausto Coppi,Fritz Schär,Fritz Schär,Elio Brasola,Alfredo Pasotti,Marcel Dupont,Fréjus
7,Angelo Menon,Rik Van Steenbergen,Rik Van Steenbergen,Elio Brasola,Alfredo Pasotti,Marcel Dupont,?
8,Luigi Casola,Fiorenzo Magni,Ferdinand Kübler,Donato Zampini,Alfredo Pasotti,Marcel Dupont,?
9,Giovanni Corrieri,Fiorenzo Magni,Ferdinand Kübler,Donato Zampini,Alfredo Pasotti,Bartello Bof,Fréjus
10,Giuseppe Minardi,Fiorenzo Magni,Ferdinand Kübler,Donato Zampini,Alfredo Pasotti,Giovanni Pinarello,Fréjus
11,Serafino Biagioni,Fiorenzo Magni,Ferdinand Kübler,Donato Zampini,Alfredo Pasotti,Martin Metzger,
12,Giancarlo Astrua,Giancarlo Astrua,Ferdinand Kübler,Donato Zampini,Alfredo Pasotti,Martin Metzger,
13,Luciano Maggini,Rik Van Steenbergen,Rik Van Steenbergen,Donato Zampini,Alfredo Pasotti,Martin Metzger,
14,Adolfo Leoni,Rik Van Steenbergen,Rik Van Steenbergen,Donato Zampini,Alfredo Pasotti,Martin Metzger,?
15,Rik Van Steenbergen,Rik Van Steenbergen,Rik Van Steenbergen,Donato Zampini,Alfredo Pasotti,Martin Metzger,?
16,Luciano Frosini,Rik Van Steenbergen,Rik Van Steenbergen,Arrigo Padovan,Alfredo Pasotti,Martin Metzger,Fréjus
17,Louison Bobet,Rik Van Steenbergen,Rik Van Steenbergen,Arrigo Padovan,Alfredo Pasotti,Martin Metzger,Fréjus
18,Fausto Coppi,Fiorenzo Magni,Rik Van Steenbergen,Elio Brasola,Louison Bobet,Martin Metzger,
19,Hugo Koblet,Fiorenzo Magni,Rik Van Steenbergen,Arrigo Padovan,Louison Bobet,?,
20,Antonio Bevilacqua,Fiorenzo Magni,Rik Van Steenbergen,Arrigo Padovan,Louison Bobet,Giovanni Pinarello,
Final,Final,Fiorenzo Magni,Rik Van Steenbergen,Arrigo Padovan,Louison Bobet,Giovanni Pinarello,Taurea
