Stage,Winner,General classification,Best foreign rider,Best independent rider,Mountains classification,Team classification
1,Giorgio Albani,Giorgio Albani,Rik Van Steenbergen,?,not awarded,?
2,Angelo Conterno,Angelo Conterno,Raphaël Géminiani & Alex Close,?,Raphaël Géminiani,?
3,Antonio Bevilacqua,Nino Defilippis,Raphaël Géminiani & Alex Close,?,Raphaël Géminiani,?
4,Désiré Keteleer,Nino Defilippis,Raphaël Géminiani & Alex Close,Donato Zampini & Giacomo Zampieri,Raphaël Géminiani,?
5,Fausto Coppi,Giancarlo Astrua,Raphaël Géminiani,Donato Zampini,Raphaël Géminiani,?
6,Rik Van Steenbergen,Giancarlo Astrua,Raphaël Géminiani,Giacomo Zampieri,Raphaël Géminiani,Bianchi
7,Giorgio Albani,Giancarlo Astrua,Raphaël Géminiani,Giacomo Zampieri,Raphaël Géminiani,?
8,Rino Benedetti,Giancarlo Astrua,Raphaël Géminiani,Giacomo Zampieri,Raphaël Géminiani,?
9,Rik Van Steenbergen,Giancarlo Astrua,Raphaël Géminiani,Giacomo Zampieri,Raphaël Géminiani,?
10,Rik Van Steenbergen,Fausto Coppi,Ferdinand Kübler,Giacomo Zampieri,Raphaël Géminiani,?
11,Fausto Coppi,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
12,Oreste Conte,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
13,Alfredo Pasotti,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
14,Fausto Coppi,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
15,Giuseppe Minardi,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
16,Annibale Brasola,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi,?
17,Nino Defilippis,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi & Raphaël Géminiani,?
18,Pasquale Fornara,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Fausto Coppi & Raphaël Géminiani,?
19,Fritz Schär,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Raphaël Géminiani,?
20,Antonio Bevilacqua,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Raphaël Géminiani,Bianchi
Final,Final,Fausto Coppi,Ferdinand Kübler,Donato Zampini,Raphaël Géminiani,Bianchi
