Stage,Winner,General classification,Mountains classification,Italian Team classification,Foreign Team classification
1,Guido Messina,Guido Messina,not awarded,?,?
2,Fiorenzo Magni,Fiorenzo Magni,Bruno Monti,Leo-Chlorodont,?
3,Nino Defilippis,Fiorenzo Magni,Bruno Monti,Leo-Chlorodont,Doniselli
4,Alessandro Fantini,Fiorenzo Magni,Bruno Monti,Leo-Chlorodont,Doniselli
5,Giancarlo Astrua,Fiorenzo Magni,Bruno Monti,Leo-Chlorodont,Doniselli
6,Torpado,Fiorenzo Magni,Bruno Monti,Nivea-Fuchs,Faema
7,Giovanni Corrieri,Fiorenzo Magni,Bruno Monti,Nivea-Fuchs,Faema
8,Rino Benedetti,Fiorenzo Magni,Bruno Monti,?,Faema
9,Gastone Nencini,Fiorenzo Magni,Bruno Monti,Atala,Faema
10,Bernardo Ruiz,Bruno Monti,Bruno Monti,Atala,Faema
11,Vincenzo Zucconelli,Bruno Monti,Bruno Monti,Atala,Francia
12,Gastone Nencini,Raphaël Géminiani,Bruno Monti & Gastone Nencini,Atala,Francia
13,Giorgio Albani,Raphaël Géminiani,Bruno Monti & Gastone Nencini,Atala,Francia
14,Giuseppe Minardi,Raphaël Géminiani,"Giuseppe Minardi, Bruno Monti & Gastone Nencini",Atala,Francia
15,Pasquale Fornara,Gastone Nencini,"Giuseppe Minardi, Bruno Monti & Gastone Nencini",Atala,Francia
16,Rino Benedetti,Gastone Nencini,"Giuseppe Minardi, Bruno Monti & Gastone Nencini",Atala,Francia
17,Alessandro Fantini,Gastone Nencini,"Giuseppe Minardi, Bruno Monti & Gastone Nencini",Atala,Francia
18,Angelo Conterno,Gastone Nencini,Bruno Monti,Atala,Francia
19,Jean Dotto,Gastone Nencini,Gastone Nencini,Atala,Francia
20,Fausto Coppi,Fiorenzo Magni,Gastone Nencini,Atala,Francia
21,Hugo Koblet,Fiorenzo Magni,Gastone Nencini,Atala,Francia
Final,Final,Fiorenzo Magni,Gastone Nencini,Atala,Francia
