Stage,Winner,General classification,Trofeo Dolomiti,Trofeo Appennini,Team classification
1,Pierino Baffi,Pierino Baffi,not awarded,not awarded,?
2a,Alessandro Fantini,Pierino Baffi,not awarded,Giuseppe Fallarini,Legnano
2b,Leo-Chlorodont,Vincenzo Zucconelli,not awarded,Giuseppe Fallarini,Legnano
3,Alessandro Fantini,Alessandro Fantini,not awarded,Federico Bahamontes,Atala
4,Miguel Poblet,Alessandro Fantini,not awarded,Federico Bahamontes,Atala
5,Giuseppe Minardi,Alessandro Fantini,not awarded,Federico Bahamontes,?
6,Jan Nolten,Alessandro Fantini,not awarded,Federico Bahamontes,Atala & Legnano
7,Arrigo Padovan,Alessandro Fantini,not awarded,Federico Bahamontes,Atala
8,Charly Gaul,Alessandro Fantini,not awarded,Federico Bahamontes,?
9,Miguel Poblet,Alessandro Fantini,not awarded,Federico Bahamontes,Legnano
10,Stage Cancelled[N 2],Alessandro Fantini,not awarded,Federico Bahamontes,Legnano
11,Bruno Tognaccini,Alessandro Fantini,not awarded,Federico Bahamontes,Legnano
12,Pietro Nascimbene,Alessandro Fantini,not awarded,Federico Bahamontes,Legnano
13,Pasquale Fornara,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
14,Michel Stolker,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
15,Charly Gaul,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
16,Miguel Poblet,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
17,Giorgio Albani,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
18,Miguel Poblet,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
19,Cleto Maule,Pasquale Fornara,not awarded,Federico Bahamontes,Legnano
20,Charly Gaul,Charly Gaul,Charly Gaul,Federico Bahamontes,Atala
21,Giorgio Albani,Charly Gaul,Charly Gaul,Federico Bahamontes,Atala
22,Donato Piazza,Charly Gaul,Charly Gaul,Federico Bahamontes,Atala
Final,Final,Charly Gaul,Charly Gaul,Federico Bahamontes,Atala
