Stage,Winner,General classification,Mountains classification,Team classification
1,Michele Dancelli,Michele Dancelli,not awarded,?
2,Guido Carlesi,Carlo Chiappano,not awarded,?
3,Luciano Galbo,Luciano Galbo,Vito Taccone & Antonio Bailetti,?
4,Adriano Durante,Albano Negro,Michele Dancelli,?
5,Michele Dancelli,Albano Negro,Michele Dancelli,?
6,Vittorio Adorni,Vittorio Adorni,Michele Dancelli,?
7,Luciano Armani,Vittorio Adorni,Michele Dancelli,?
8,Frans Brands,Bruno Mealli,Michele Dancelli,?
9,Adriano Durante,Bruno Mealli,Michele Dancelli,?
10,Domenico Meldolesi,Bruno Mealli,Michele Dancelli,?
11,Guido Carlesi,Bruno Mealli,Michele Dancelli,?
12,Raffaele Marcoli,Bruno Mealli,Michele Dancelli,?
13,Vittorio Adorni,Vittorio Adorni,Michele Dancelli,?
14,Danilo Grassi,Vittorio Adorni,Michele Dancelli,?
15,Bruno Mealli,Vittorio Adorni,Michele Dancelli,?
16,Aldo Pifferi,Vittorio Adorni,Franco Bitossi,?
17,Raffaele Marcoli,Vittorio Adorni,Franco Bitossi,?
18,Italo Zilioli,Vittorio Adorni,Franco Bitossi,?
19,Vittorio Adorni,Vittorio Adorni,Franco Bitossi,?
20,Graziano Battistini,Vittorio Adorni,Franco Bitossi,?
21,Franco Bitossi,Vittorio Adorni,Franco Bitossi,?
22,René Binggeli,Vittorio Adorni,Franco Bitossi,?
Final,Final,Vittorio Adorni,Franco Bitossi,Salvarani
