Stage,Winner,General classification,Points classification [24],Mountains classification,Team classification
P,Eddy Merckx & Roger Swerts,(Eddy Merckx)[N 1],(Roger Swerts)[N 1],not awarded,not awarded
1,Eddy Merckx,Eddy Merckx,Eddy Merckx,not awarded,?
2,Roger De Vlaeminck,Eddy Merckx,Eddy Merckx,not awarded,?
3,Gustave Van Roosbroeck,Eddy Merckx,Eddy Merckx,not awarded,?
4,Eddy Merckx,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
5,Gerben Karstens,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
6,Gianni Motta,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
7,Rik Van Linden,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
8,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
9,Patrick Sercu,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
10,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
11,Roger De Vlaeminck,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
12,Tullio Rossi,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
13,Roger De Vlaeminck,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
14,Francesco Moser,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
15,Martín Emilio Rodríguez,Eddy Merckx,Roger De Vlaeminck,Eddy Merckx,?
16,Felice Gimondi,Eddy Merckx,Roger De Vlaeminck,Eddy Merckx,?
17,Rik Van Linden,Eddy Merckx,Roger De Vlaeminck,Eddy Merckx,?
18,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,?
19,José Manuel Fuente,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
20,Marino Basso,Eddy Merckx,Eddy Merckx,José Manuel Fuente,?
Final,Final,Eddy Merckx,Eddy Merckx,José Manuel Fuente,Molteni
