Stage,Winner,General classification,Points classification,Mountains classification
1,Wilfried Reybrouck,Wilfried Reybrouck,Wilfried Reybrouck,not awarded
2,Patrick Sercu,Wilfried Reybrouck,Roger De Vlaeminck,not awarded
3,José Manuel Fuente,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
4,Roger De Vlaeminck,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
5,Pierino Gavazzi,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
6,Franco Bitossi,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
7,Ugo Colombo,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
8,Franco Bitossi,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
9,José Manuel Fuente,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
10,Patrick Sercu,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
11a,José Manuel Fuente,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
11b,Patrick Sercu,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
12,Eddy Merckx,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
13,Enrico Paolini,José Manuel Fuente,Roger De Vlaeminck,José Manuel Fuente
14,Giuseppe Perletto,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
15,Ercole Gualazzini,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
16,José Manuel Fuente,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
17,Santiago Lazcano,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
18,Franco Bitossi,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
19,Enrico Paolini,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
20,José Manuel Fuente,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
21,Marino Basso,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
22,Gianni Motta,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
Final,Final,Eddy Merckx,Roger De Vlaeminck,José Manuel Fuente
