Stage,Winner,General classification,Points classification,Mountains classification,Team classification
1,Knut Knudsen,Knut Knudsen,Knut Knudsen,not awarded,not awarded
2,Patrick Sercu,Knut Knudsen,Rik Van Linden,not awarded,Jollj Ceramica
3,Giovanni Battaglin,Giovanni Battaglin,Rik Van Linden,Giovanni Battaglin,Jollj Ceramica
4,Roger De Vlaeminck,Francisco Galdós,Roger De Vlaeminck & Pierino Gavazzi,Andrés Oliva,Brooklyn
5,Rik Van Linden,Francisco Galdós,Rik Van Linden,Andrés Oliva,Brooklyn
6,Roger De Vlaeminck,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
7a,Domingo Perurena,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
7b,Roger De Vlaeminck,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
8,Marcello Osler,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
9,Enrico Paolini,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
10,Roger De Vlaeminck,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
11,Roger De Vlaeminck,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
12,Patrick Sercu,Francisco Galdós,Roger De Vlaeminck,Andrés Oliva,Brooklyn
13,Giovanni Battaglin,Giovanni Battaglin,Roger De Vlaeminck,Andrés Oliva,Brooklyn
14,Fausto Bertoglio,Fausto Bertoglio,Roger De Vlaeminck,Fausto Bertoglio & Andrés Oliva,Brooklyn
15,Franco Bitossi,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
16,Fabrizio Fabbri,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
17a,Patrick Sercu,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
17b,Wladimiro Panizza,Fausto Bertoglio,Roger De Vlaeminck,Fausto Bertoglio,Brooklyn
18,Roger De Vlaeminck,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
19,Martín Emilio Rodríguez,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
20,Roger De Vlaeminck,Fausto Bertoglio,Roger De Vlaeminck,Andrés Oliva,Brooklyn
21,Francisco Galdós,Fausto Bertoglio,Roger De Vlaeminck,Francisco Galdós & Andrés Oliva,Brooklyn
Final,Final,Fausto Bertoglio,Roger De Vlaeminck,Francisco Galdós & Andrés Oliva,Brooklyn
