Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Combination classification,Team classification
1,Jean-François Bernard,Jean-François Bernard,Jean-François Bernard,not awarded,Bruno Hürlimann,not awarded,Carrera Jeans–Vagabond
2,Guido Bontempi,Jean-François Bernard,Guido Bontempi,Stefano Giuliani,Bruno Hürlimann,not awarded,Carrera Jeans–Vagabond
3,Stephan Joho,Jean-François Bernard,Guido Bontempi,Renato Piccolo,Bruno Hürlimann,Stephan Joho,Carrera Jeans–Vagabond
4a,Massimo Podenzana,Massimo Podenzana,Rolf Sørensen,Renato Piccolo,Massimo Podenzana,Stephan Joho,Carrera Jeans–Vagabond
4b,Del Tongo–Colnago,Massimo Podenzana,Rolf Sørensen,Renato Piccolo,Massimo Podenzana,Stephan Joho,Del Tongo–Colnago
5,Guido Bontempi,Massimo Podenzana,Guido Bontempi,Renato Piccolo,Massimo Podenzana,Stephan Joho,Carrera Jeans–Vagabond
6,Franco Chioccioli,Massimo Podenzana,Guido Bontempi,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
7,Andreas Kappes,Massimo Podenzana,Johan van der Velde,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
8,Jean-François Bernard,Massimo Podenzana,Johan van der Velde,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
9,Alessio Di Basco,Massimo Podenzana,Johan van der Velde,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
10,Paolo Rosola,Massimo Podenzana,Johan van der Velde,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
11,Stage Cancelled,Massimo Podenzana,Johan van der Velde,Renato Piccolo,Massimo Podenzana,Franco Chioccioli,Carrera Jeans–Vagabond
12,Andrew Hampsten,Franco Chioccioli,Johan van der Velde,Renato Piccolo,Franco Vona,Andrew Hampsten,Del Tongo–Colnago
13,Tony Rominger,Franco Chioccioli,Johan van der Velde,Renato Piccolo,Franco Vona,Andrew Hampsten,Del Tongo–Colnago
14,Erik Breukink,Andrew Hampsten,Johan van der Velde,Renato Piccolo,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
15,Jean-François Bernard,Andrew Hampsten,Johan van der Velde,Renato Piccolo,Stefano Tomasini,Andrew Hampsten,Del Tongo–Colnago
16,Franco Vona,Andrew Hampsten,Johan van der Velde,Renato Piccolo,Stefano Tomasini,Andrew Hampsten,Panasonic–Isostar–Colnago–Agu
17,Patrizio Gambirasio,Andrew Hampsten,Johan van der Velde,Renato Piccolo,Stefano Tomasini,Andrew Hampsten,Panasonic–Isostar–Colnago–Agu
18,Andrew Hampsten,Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
19,Stefano Giuliani,Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
20,Alessio Di Basco[N 1],Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
21a,Urs Freuler,Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
21b,Lech Piasecki,Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
Final,Final,Andrew Hampsten,Johan van der Velde,Andrew Hampsten,Stefano Tomasini,Andrew Hampsten,Carrera Jeans–Vagabond
