Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Intergiro classification,Team classification
1,Philippe Casado,Philippe Casado,Philippe Casado,Alberto Leanizbarrutia,Gianluca Bortolami,Alberto Leanizbarrutia,Selle Italia-Magniarredo-Vetta
2a,Gianluca Pierobon,Franco Chioccioli,Franco Chioccioli,Alberto Leanizbarrutia,Gianluca Bortolami,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
2b,Mario Cipollini,Franco Chioccioli,Franco Chioccioli,Alberto Leanizbarrutia,Gianluca Bortolami,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
3,Eduardo Chozas,Franco Chioccioli,Franco Chioccioli,Alberto Leanizbarrutia,Gianluca Bortolami,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
4,Éric Boyer,Éric Boyer,Claudio Chiappucci,Alberto Leanizbarrutia,Gianluca Bortolami,Alberto Leanizbarrutia,Z
5,Marino Lejarreta,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,ONCE
6,Vladimir Poulnikov,Franco Chioccioli,Franco Chioccioli,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
7,Mario Cipollini,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
8,Davide Cassani,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
9,Massimo Ghirotto,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
10,Gianni Bugno,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
11,Maximilian Sciandri,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
12,Massimiliano Lelli,Franco Chioccioli,Claudio Chiappucci,Acácio da Silva,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
13,Eduardo Chozas,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
14,Franco Ballerini,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
15,Franco Chioccioli,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,ONCE
16,Massimiliano Lelli,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,ONCE
17,Franco Chioccioli,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Vagabond
18,Silvio Martinello,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Vagabond
19,Gianni Bugno,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Vagabond
20,Franco Chioccioli,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Vagabond
21,Mario Cipollini,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Vagabond
Final,Final,Franco Chioccioli,Claudio Chiappucci,Iñaki Gastón,Massimiliano Lelli,Alberto Leanizbarrutia,Carrera Jeans–Tassoni
