Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team
1,Ivan Quaranta,Ivan Quaranta,Ivan Quaranta,Paolo Bettini,?,Mercatone Uno–Bianchi
2,Mario Cipollini,Mario Cipollini,Ivan Quaranta,Paolo Bettini,?,Saeco–Cannondale
3,Jeroen Blijlevens,Jeroen Blijlevens,Ivan Quaranta,Paolo Bettini,?,Navigare–Gaerne
4,Laurent Jalabert,Jeroen Blijlevens,Ivan Quaranta,Paolo Bettini,?,Saeco–Cannondale
5,José Jaime González,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Saeco–Cannondale
6,Romāns Vainšteins,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Team Polti
7,Jeroen Blijlevens,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Team Polti
8,Marco Pantani,Marco Pantani,Ivan Quaranta,Paolo Bettini,?,Banesto
9,Laurent Jalabert,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Banesto
10,Mario Cipollini,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Banesto
11,Ivan Quaranta,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Banesto
12,Mario Cipollini,Laurent Jalabert,Ivan Quaranta,Paolo Bettini,?,Banesto
13,Richard Virenque,Laurent Jalabert,Ivan Quaranta,Chepe González,?,Banesto
14,Paolo Savoldelli,Marco Pantani,Ivan Quaranta,Chepe González,?,Banesto
15,Marco Pantani,Marco Pantani,Ivan Quaranta,Marco Pantani,?,Vitalicio Seguros
16,Laurent Jalabert,Marco Pantani,Ivan Quaranta,Marco Pantani,?,Vitalicio Seguros
17,Mario Cipollini,Marco Pantani,Ivan Quaranta,Marco Pantani,?,Vitalicio Seguros
18,Serhiy Honchar,Marco Pantani,Ivan Quaranta,Marco Pantani,?,Vitalicio Seguros
19,Marco Pantani,Marco Pantani,Marco Pantani,Marco Pantani,?,Vitalicio Seguros
20,Marco Pantani,Marco Pantani,Marco Pantani,Marco Pantani,?,Vitalicio Seguros
21,Roberto Heras,Ivan Gotti,Laurent Jalabert,Marco Pantani,?,Vitalicio Seguros
22,Fabrizio Guidi,Ivan Gotti,Laurent Jalabert,Chepe González,?,Vitalicio Seguros
Final,Final,Ivan Gotti,Laurent Jalabert,Chepe González,Fabrizio Guidi,Vitalicio Seguros
