Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team,Trofeo Super Team
P,Bradley McGee,Bradley McGee,not awarded,not awarded,not awarded,not awarded,not awarded
1,Alessandro Petacchi,Olaf Pollack,Alessandro Petacchi,Fabian Wegmann,Marlon Pérez Arango,Lampre,FDJeux.com Lampre
2,Damiano Cunego,Bradley McGee,Damiano Cunego,Alexandre Moos,Ruggero Marzoli,Lampre,FDJeux.com
3,Gilberto Simoni,Gilberto Simoni,Damiano Cunego,Gilberto Simoni,Ruggero Marzoli,Saeco,Saeco
4,Alessandro Petacchi,Gilberto Simoni,Alessandro Petacchi,Gilberto Simoni,Alessandro Vanotti,Saeco,Saeco
5,Robbie McEwen,Gilberto Simoni,Robbie McEwen,Gilberto Simoni,Crescenzo d'Amore,Saeco,Saeco
6,Alessandro Petacchi,Gilberto Simoni,Alessandro Petacchi,Fabian Wegmann,Crescenzo d'Amore,Saeco,Acqua & Sapone
7,Damiano Cunego,Damiano Cunego,Alessandro Petacchi,Damiano Cunego,Massimo Strazzer,Saeco,Saeco
8,Alessandro Petacchi,Damiano Cunego,Alessandro Petacchi,Damiano Cunego,Massimo Strazzer,Saeco,Saeco
9,Fred Rodriguez,Damiano Cunego,Alessandro Petacchi,Damiano Cunego,Massimo Strazzer,Saeco,Saeco
10,Alessandro Petacchi,Damiano Cunego,Alessandro Petacchi,Damiano Cunego,Crescenzo d'Amore,Saeco,Saeco
11,Emanuele Sella,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Marlon Pérez Arango,Saeco,Alessio–Bianchi
12,Alessandro Petacchi,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Marlon Pérez Arango,Saeco,Alessio–Bianchi
13,Serhiy Honchar,Yaroslav Popovych,Alessandro Petacchi,Fabian Wegmann,Marlon Pérez Arango,Alessio–Bianchi,Alessio–Bianchi
14,Alessandro Petacchi,Yaroslav Popovych,Alessandro Petacchi,Fabian Wegmann,Crescenzo d'Amore,Alessio–Bianchi,Alessio–Bianchi
15,Alessandro Petacchi,Yaroslav Popovych,Alessandro Petacchi,Fabian Wegmann,Crescenzo d'Amore,Alessio–Bianchi,Alessio–Bianchi
16,Damiano Cunego,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Crescenzo d'Amore,Saeco,Acqua & Sapone
17,Pavel Tonkov,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Crescenzo d'Amore,Saeco,Alessio–Bianchi
18,Damiano Cunego,Damiano Cunego,Alessandro Petacchi,Damiano Cunego,Crescenzo d'Amore,Saeco,Alessio–Bianchi
19,Stefano Garzelli,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Raffaele Illiano,Saeco,Alessio–Bianchi
20,Alessandro Petacchi,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Raffaele Illiano,Saeco,Alessio–Bianchi
Final,Final,Damiano Cunego,Alessandro Petacchi,Fabian Wegmann,Raffaele Illiano,Saeco,Alessio–Bianchi
