Stage,Winner,General classification,Points classification,Mountains classification,Combination classification,Trofeo Fast Team,Trofeo Super Team
1,Paolo Savoldelli,Paolo Savoldelli,Paolo Savoldelli,Paolo Savoldelli,Paolo Savoldelli,Discovery Channel,not awarded
2,Robbie McEwen,Paolo Savoldelli,Paolo Savoldelli,Paolo Savoldelli,Paolo Savoldelli,Discovery Channel,T-Mobile Team
3,Stefan Schumacher,Stefan Schumacher,Stefan Schumacher,Moisés Aldape,Paolo Savoldelli,Discovery Channel,Davitamon–Lotto
4,Robbie McEwen,Stefan Schumacher,Robbie McEwen,Sandy Casar,Paolo Savoldelli,Discovery Channel,Davitamon–Lotto
5,Team CSC,Serhiy Honchar,Robbie McEwen,Sandy Casar,Paolo Savoldelli,T-Mobile Team,Davitamon–Lotto
6,Robbie McEwen,Olaf Pollack,Robbie McEwen,Sandy Casar,Paolo Savoldelli,T-Mobile Team,Davitamon–Lotto
7,Rik Verbrugghe,Serhiy Honchar,Robbie McEwen,Staf Scheirlinckx,Paolo Savoldelli,Discovery Channel,Davitamon–Lotto
8,Ivan Basso,Ivan Basso,Robbie McEwen,Ivan Basso,Paolo Savoldelli,Discovery Channel,Davitamon–Lotto
9,Tomas Vaitkus,Ivan Basso,Robbie McEwen,Ivan Basso,Paolo Savoldelli,Discovery Channel,Davitamon–Lotto
10,Franco Pellizotti,Ivan Basso,Robbie McEwen,Ivan Basso,Paolo Savoldelli,Liquigas,Davitamon–Lotto
11,Jan Ullrich[N 1],Ivan Basso,Robbie McEwen,Ivan Basso,Paolo Savoldelli,Discovery Channel,T-Mobile Team
12,Joan Horrach,Ivan Basso,Robbie McEwen,Ivan Basso,Paolo Savoldelli,Discovery Channel,T-Mobile Team
13,Leonardo Piepoli,Ivan Basso,Paolo Bettini,Ivan Basso,Paolo Savoldelli,Discovery Channel,Discovery Channel
14,Luis Felipe Laverde,Ivan Basso,Paolo Bettini,Fortunato Baliani,Paolo Savoldelli,Phonak,Ceramica Panaria–Navigare
15,Paolo Bettini,Ivan Basso,Paolo Bettini,Fortunato Baliani,Paolo Savoldelli,Phonak,Ceramica Panaria–Navigare
16,Ivan Basso,Ivan Basso,Paolo Bettini,Ivan Basso,Paolo Savoldelli,Phonak,Phonak
17,Leonardo Piepoli,Ivan Basso,Ivan Basso,Ivan Basso,Paolo Savoldelli,Phonak,Phonak
18,Stefan Schumacher,Ivan Basso,Paolo Bettini,Ivan Basso,Paolo Savoldelli,Phonak,Phonak
19,Juan Manuel Gárate,Ivan Basso,Paolo Bettini,Fortunato Baliani,Paolo Savoldelli,Phonak,Phonak
20,Ivan Basso,Ivan Basso,Ivan Basso,Juan Manuel Gárate,Paolo Savoldelli,Phonak,Phonak
21,Robert Förster,Ivan Basso,Paolo Bettini,Juan Manuel Gárate,Paolo Savoldelli,Phonak,Phonak
Final,Final,Ivan Basso,Paolo Bettini,Juan Manuel Gárate,Paolo Savoldelli,Phonak,Phonak
