Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification
1,Bradley Wiggins,Bradley Wiggins,Bradley Wiggins,not awarded,Richie Porte
2,Tyler Farrar,Cadel Evans,Tyler Farrar,Paul Voss,Richie Porte
3,Wouter Weylandt,Alexander Vinokourov,Graeme Brown,Paul Voss,Richie Porte
4,Liquigas–Doimo,Vincenzo Nibali,Graeme Brown,Paul Voss,Valerio Agnoli
5,Jérôme Pineau,Vincenzo Nibali,Jérôme Pineau,Paul Voss,Valerio Agnoli
6,Matthew Lloyd,Vincenzo Nibali,Tyler Farrar,Matthew Lloyd,Valerio Agnoli
7,Cadel Evans,Alexander Vinokourov,Tyler Farrar,Matthew Lloyd,Richie Porte
8,Chris Anker Sørensen,Alexander Vinokourov,Cadel Evans,Matthew Lloyd,Richie Porte
9,Matthew Goss,Alexander Vinokourov,Tyler Farrar,Matthew Lloyd,Richie Porte
10,Tyler Farrar,Alexander Vinokourov,Tyler Farrar,Matthew Lloyd,Richie Porte
11,Evgeni Petrov,Richie Porte,Tyler Farrar,Matthew Lloyd,Richie Porte
12,Filippo Pozzato,Richie Porte,Jérôme Pineau,Matthew Lloyd,Richie Porte
13,Manuel Belletti,Richie Porte,Jérôme Pineau,Matthew Lloyd,Richie Porte
14,Vincenzo Nibali,David Arroyo,Alexander Vinokourov,Matthew Lloyd,Richie Porte
15,Ivan Basso,David Arroyo,Cadel Evans,Matthew Lloyd,Richie Porte
16,Stefano Garzelli,David Arroyo,Cadel Evans,Matthew Lloyd,Richie Porte
17,Damien Monier,David Arroyo,Cadel Evans,Matthew Lloyd,Richie Porte
18,André Greipel,David Arroyo,Cadel Evans,Matthew Lloyd,Richie Porte
19,Michele Scarponi,Ivan Basso,Cadel Evans,Ivan Basso,Richie Porte
20,Johann Tschopp,Ivan Basso,Cadel Evans,Matthew Lloyd,Richie Porte
21,Gustav Larsson,Ivan Basso,Cadel Evans,Matthew Lloyd,Richie Porte
Final,Final,Ivan Basso,Cadel Evans,Matthew Lloyd,Richie Porte
