Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,Trofeo Fast Team,Trofeo Super Team
1,Taylor Phinney,Taylor Phinney,Taylor Phinney,not awarded,Taylor Phinney,Garmin–Barracuda,Garmin–Barracuda
2,Mark Cavendish,Taylor Phinney,Mark Cavendish,Alfredo Balloni,Taylor Phinney,Garmin–Barracuda,Garmin–Barracuda
3,Matthew Goss,Taylor Phinney,Matthew Goss,Alfredo Balloni,Taylor Phinney,Garmin–Barracuda,Garmin–Barracuda
4,Garmin–Barracuda,Ramūnas Navardauskas,Matthew Goss,Alfredo Balloni,Ramūnas Navardauskas,Garmin–Barracuda,Garmin–Barracuda
5,Mark Cavendish,Ramūnas Navardauskas,Matthew Goss,Alfredo Balloni,Ramūnas Navardauskas,Garmin–Barracuda,Garmin–Barracuda
6,Miguel Ángel Rubiano,Adriano Malori,Matthew Goss,Miguel Ángel Rubiano,Adriano Malori,Garmin–Barracuda,Garmin–Barracuda
7,Paolo Tiralongo,Ryder Hesjedal,Matthew Goss,Miguel Ángel Rubiano,Peter Stetina,Garmin–Barracuda,Garmin–Barracuda
8,Domenico Pozzovivo,Ryder Hesjedal,Matthew Goss,Miguel Ángel Rubiano,Damiano Caruso,Liquigas–Cannondale,Garmin–Barracuda
9,Francisco Ventoso,Ryder Hesjedal,Matthew Goss,Miguel Ángel Rubiano,Damiano Caruso,Liquigas–Cannondale,Garmin–Barracuda
10,Joaquim Rodríguez,Joaquim Rodríguez,Matthew Goss,Miguel Ángel Rubiano,Damiano Caruso,Liquigas–Cannondale,Garmin–Barracuda
11,Roberto Ferrari,Joaquim Rodríguez,Mark Cavendish,Miguel Ángel Rubiano,Damiano Caruso,Liquigas–Cannondale,Garmin–Barracuda
12,Lars Bak,Joaquim Rodríguez,Mark Cavendish,Michał Gołaś,Damiano Caruso,Movistar Team,Garmin–Barracuda
13,Mark Cavendish,Joaquim Rodríguez,Mark Cavendish,Michał Gołaś,Damiano Caruso,Movistar Team,Garmin–Barracuda
14,Andrey Amador,Ryder Hesjedal,Mark Cavendish,Michał Gołaś,Rigoberto Urán,Movistar Team,Garmin–Barracuda
15,Matteo Rabottini,Joaquim Rodríguez,Mark Cavendish,Matteo Rabottini,Sergio Henao,Movistar Team,Garmin–Barracuda
16,Jon Izagirre,Joaquim Rodríguez,Mark Cavendish,Matteo Rabottini,Sergio Henao,Movistar Team,Garmin–Barracuda
17,Joaquim Rodríguez,Joaquim Rodríguez,Mark Cavendish,Matteo Rabottini,Rigoberto Urán,Movistar Team,Garmin–Barracuda
18,Andrea Guardini,Joaquim Rodríguez,Mark Cavendish,Matteo Rabottini,Rigoberto Urán,Movistar Team,Garmin–Barracuda
19,Roman Kreuziger,Joaquim Rodríguez,Mark Cavendish,Matteo Rabottini,Rigoberto Urán,Movistar Team,Garmin–Barracuda
20,Thomas De Gendt,Joaquim Rodríguez,Joaquim Rodríguez,Matteo Rabottini,Rigoberto Urán,Lampre–ISD,Garmin–Barracuda
21,Marco Pinotti,Ryder Hesjedal,Joaquim Rodríguez,Matteo Rabottini,Rigoberto Urán,Lampre–ISD,Garmin–Barracuda
Final,Final,Ryder Hesjedal,Joaquim Rodríguez,Matteo Rabottini,Rigoberto Urán,Lampre–ISD,Garmin–Barracuda
