Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team
1,Tom Dumoulin,Tom Dumoulin,Tom Dumoulin[a],not awarded,Maximilian Schachmann,Team Katusha–Alpecin
2,Elia Viviani,Rohan Dennis,Elia Viviani,Enrico Barbin,Maximilian Schachmann,Team Katusha–Alpecin
3,Elia Viviani,Rohan Dennis,Elia Viviani,Enrico Barbin,Maximilian Schachmann,Team Katusha–Alpecin
4,Tim Wellens,Rohan Dennis,Elia Viviani,Enrico Barbin,Maximilian Schachmann,Mitchelton–Scott
5,Enrico Battaglin,Rohan Dennis,Elia Viviani,Enrico Barbin,Maximilian Schachmann,Mitchelton–Scott
6,Esteban Chaves,Simon Yates,Elia Viviani,Esteban Chaves,Richard Carapaz,Mitchelton–Scott
7,Sam Bennett,Simon Yates,Elia Viviani,Esteban Chaves,Richard Carapaz,Mitchelton–Scott
8,Richard Carapaz,Simon Yates,Elia Viviani,Esteban Chaves,Richard Carapaz,Mitchelton–Scott
9,Simon Yates,Simon Yates,Elia Viviani,Simon Yates[b],Richard Carapaz,Mitchelton–Scott
10,Matej Mohorič,Simon Yates,Elia Viviani,Simon Yates[b],Richard Carapaz,Mitchelton–Scott
11,Simon Yates,Simon Yates,Elia Viviani,Simon Yates[b],Richard Carapaz,Mitchelton–Scott
12,Sam Bennett,Simon Yates,Elia Viviani,Simon Yates[b],Richard Carapaz,Mitchelton–Scott
13,Elia Viviani,Simon Yates,Elia Viviani,Simon Yates[b],Richard Carapaz,Mitchelton–Scott
14,Chris Froome,Simon Yates,Elia Viviani,Simon Yates[b],Miguel Ángel López,Team Sky
15,Simon Yates,Simon Yates,Elia Viviani,Simon Yates[b],Miguel Ángel López,Team Sky
16,Rohan Dennis,Simon Yates,Elia Viviani,Simon Yates[b],Miguel Ángel López,Team Sky
17,Elia Viviani,Simon Yates,Elia Viviani,Simon Yates[b],Miguel Ángel López,Team Sky
18,Maximilian Schachmann,Simon Yates,Elia Viviani,Simon Yates[b],Miguel Ángel López,Team Sky
19,Chris Froome,Chris Froome,Elia Viviani,Chris Froome[c],Miguel Ángel López,Team Sky
20,Mikel Nieve,Chris Froome,Elia Viviani,Chris Froome[c],Miguel Ángel López,Team Sky
21,Sam Bennett,Chris Froome,Elia Viviani,Chris Froome[c],Miguel Ángel López,Team Sky
Final,Final,Chris Froome,Elia Viviani,Chris Froome,Miguel Ángel López,Team Sky
