Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Combativity classification,Breakaway classification,Fair play classification
1,Filippo Ganna,Filippo Ganna,Filippo Ganna,Not awarded,Filippo Ganna,Team Jumbo–Visma,Not awarded,Filippo Ganna,Not awarded,Ineos Grenadiers
2,Tim Merlier,Filippo Ganna,Tim Merlier,Vincenzo Albanese,Filippo Ganna,Team Jumbo–Visma,Filippo Ganna,Filippo Ganna,Filippo Tagliani,Ineos Grenadiers
3,Taco van der Hoorn,Filippo Ganna,Tim Merlier,Vincenzo Albanese,Filippo Ganna,Team Jumbo–Visma,Simon Pellaud,Filippo Ganna,Vincenzo Albanese,Ineos Grenadiers
4,Joe Dombrowski,Alessandro De Marchi,Tim Merlier,Joe Dombrowski,Attila Valter,Team Bahrain Victorious,Simon Pellaud,Alessandro De Marchi,Vincenzo Albanese,Israel Start-Up Nation
5,Caleb Ewan,Alessandro De Marchi,Giacomo Nizzolo,Joe Dombrowski,Attila Valter,Team Bahrain Victorious,Filippo Tagliani,Simon Pellaud,Vincenzo Albanese,Israel Start-Up Nation
6,Gino Mäder,Attila Valter,Giacomo Nizzolo,Gino Mäder,Attila Valter,Team Bahrain Victorious,Filippo Tagliani,Gino Mäder,Vincenzo Albanese,Groupama–FDJ
7,Caleb Ewan,Attila Valter,Caleb Ewan,Gino Mäder,Attila Valter,Team Bahrain Victorious,Simon Pellaud,Simon Pellaud,Simon Pellaud,Groupama–FDJ
8,Victor Lafay,Attila Valter,Tim Merlier,Gino Mäder,Attila Valter,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Simon Pellaud,Groupama–FDJ
9,Egan Bernal,Egan Bernal,Tim Merlier,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Simon Pellaud,Trek–Segafredo
10,Peter Sagan,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Simon Pellaud,Trek–Segafredo
11,Mauro Schmid,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Simon Pellaud,Simon Pellaud,Simon Pellaud,Team Bahrain Victorious
12,Andrea Vendrame,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Simon Pellaud,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
13,Giacomo Nizzolo,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Umberto Marengo,Simon Pellaud,Simon Pellaud,Team Bahrain Victorious
14,Lorenzo Fortunato,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Umberto Marengo,Simon Pellaud,Simon Pellaud,Team Bahrain Victorious
15,Victor Campenaerts,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Trek–Segafredo,Umberto Marengo,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
16,Egan Bernal,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Trek–Segafredo,Umberto Marengo,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
17,Dan Martin,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
18,Alberto Bettiol,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Team DSM,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
19,Simon Yates,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
20,Damiano Caruso,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
21,Filippo Ganna,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
Final,Final,Egan Bernal,Peter Sagan,Geoffrey Bouchard,Egan Bernal,Ineos Grenadiers,Dries De Bondt,Dries De Bondt,Simon Pellaud,Team Bahrain Victorious
