Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Combativity award,Breakaway classification,Fair play classification
1,Remco Evenepoel,Remco Evenepoel,Remco Evenepoel,Tao Geoghegan Hart,Remco Evenepoel,Ineos Grenadiers,not awarded,Rudy Molard,not awarded,Soudal–Quick-Step
2,Jonathan Milan,Remco Evenepoel,Jonathan Milan,Paul Lapeira,Remco Evenepoel,UAE Team Emirates,Stefano Gandin,Paul Lapeira,Mattia Bais,Soudal–Quick-Step
3,Michael Matthews,Remco Evenepoel,Jonathan Milan,Thibaut Pinot,Remco Evenepoel,UAE Team Emirates,Stefano Gandin,Veljko Stojnić,Veljko Stojnić,Soudal–Quick-Step
4,Aurélien Paret-Peintre,Andreas Leknessund,Jonathan Milan,Thibaut Pinot,Andreas Leknessund,Ineos Grenadiers,Stefano Gandin,Amanuel Ghebreigzabhier,Veljko Stojnić,Team DSM
5,Kaden Groves,Andreas Leknessund,Jonathan Milan,Thibaut Pinot,Andreas Leknessund,Ineos Grenadiers,Stefano Gandin,Stefano Gandin,Thomas Champion,Soudal–Quick-Step
6,Mads Pedersen,Andreas Leknessund,Jonathan Milan,Thibaut Pinot,Andreas Leknessund,Ineos Grenadiers,Stefano Gandin,Simon Clarke,Thomas Champion,Soudal–Quick-Step
7,Davide Bais,Andreas Leknessund,Jonathan Milan,Davide Bais,Andreas Leknessund,Ineos Grenadiers,Stefano Gandin,Henok Mulubrhan,Thomas Champion,Soudal–Quick-Step
8,Ben Healy,Andreas Leknessund,Jonathan Milan,Davide Bais,Andreas Leknessund,Ineos Grenadiers,Stefano Gandin,Ben Healy,Thomas Champion,Soudal–Quick-Step
9,Remco Evenepoel,Remco Evenepoel,Jonathan Milan,Davide Bais,Remco Evenepoel,Ineos Grenadiers,Stefano Gandin,Geraint Thomas,Thomas Champion,Soudal–Quick-Step
10,Magnus Cort,Geraint Thomas,Jonathan Milan,Davide Bais,João Almeida,Ineos Grenadiers,Stefano Gandin,Derek Gee,Alessandro De Marchi,AG2R Citroën Team
11,Pascal Ackermann,Geraint Thomas,Jonathan Milan,Davide Bais,João Almeida,Ineos Grenadiers,Davide Bais,Laurenz Rex,Thomas Champion,AG2R Citroën Team
12,Nico Denz,Geraint Thomas,Jonathan Milan,Davide Bais,João Almeida,Team Jumbo–Visma,Davide Bais,Toms Skujiņš,Thomas Champion,AG2R Citroën Team
13,Einer Rubio,Geraint Thomas,Jonathan Milan,Thibaut Pinot,João Almeida,Team Jumbo–Visma,Davide Bais,Thibaut Pinot,Thomas Champion,Groupama–FDJ
14,Nico Denz,Bruno Armirail,Jonathan Milan,Davide Bais,João Almeida,Team Bahrain Victorious,Davide Bais,Derek Gee,Thomas Champion,Groupama–FDJ
15,Brandon McNulty,Bruno Armirail,Jonathan Milan,Davide Bais,João Almeida,Team Bahrain Victorious,Davide Bais,Ben Healy,Thomas Champion,Groupama–FDJ
16,João Almeida,Geraint Thomas,Jonathan Milan,Ben Healy,João Almeida,Team Bahrain Victorious,Toms Skujiņš,João Almeida,Thomas Champion,Groupama–FDJ
17,Alberto Dainese,Geraint Thomas,Jonathan Milan,Ben Healy,João Almeida,Team Bahrain Victorious,Toms Skujiņš,Thomas Champion,Thomas Champion,Groupama–FDJ
18,Filippo Zana,Geraint Thomas,Jonathan Milan,Thibaut Pinot,João Almeida,Team Bahrain Victorious,Thomas Champion,Thibaut Pinot,Thomas Champion,Groupama–FDJ
19,Santiago Buitrago,Geraint Thomas,Jonathan Milan,Thibaut Pinot,João Almeida,Team Bahrain Victorious,Derek Gee,Derek Gee,Thomas Champion,Groupama–FDJ
20,Primož Roglič,Primož Roglič,Jonathan Milan,Thibaut Pinot,João Almeida,Team Bahrain Victorious,Derek Gee,Thibaut Pinot,Thomas Champion,Groupama–FDJ
21,Mark Cavendish,Primož Roglič,Jonathan Milan,Thibaut Pinot,João Almeida,Team Bahrain Victorious,Toms Skujiņš,not awarded,Thomas Champion,Groupama–FDJ
Final,Final,Primož Roglič,Jonathan Milan,Thibaut Pinot,João Almeida,Team Bahrain Victorious,Toms Skujiņš,Derek Gee,Thomas Champion,Groupama–FDJ
