Stage,Winner,General classification,Points classification,Mountains classification,Young rider classification,General Super Team,Intermediate sprint classification,Intergiro classification,Combativity award,Breakaway classification
1,Jhonatan Narváez,Jhonatan Narváez,Jhonatan Narváez[b],Lilian Calmejane,Alex Baudin,Ineos Grenadiers,Damiano Caruso,Lilian Calmejane,Amanuel Ghebreigzabhier,Lilian Calmejane
2,Tadej Pogačar,Tadej Pogačar,Filippo Fiorelli,Tadej Pogačar[c],Cian Uijtdebroeks,Bora–Hansgrohe,Andrea Piccolo,Filippo Fiorelli,Andrea Piccolo,Filippo Fiorelli
3,Tim Merlier,Tadej Pogačar,Tim Merlier,Tadej Pogačar[c],Cian Uijtdebroeks,Bora–Hansgrohe,Filippo Fiorelli,Filippo Fiorelli,Filippo Fiorelli,Filippo Fiorelli
4,Jonathan Milan,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Ineos Grenadiers,Filippo Fiorelli,Lilian Calmejane,Francisco Muñoz,Lilian Calmejane
5,Benjamin Thomas,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Ineos Grenadiers,Filippo Fiorelli,Lilian Calmejane,Mattia Bais,Lilian Calmejane
6,Pelayo Sánchez,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Ineos Grenadiers,Filippo Fiorelli,Filippo Fiorelli,Julian Alaphilippe,Lilian Calmejane
7,Tadej Pogačar,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Luke Plapp,Ineos Grenadiers,Filippo Fiorelli,Filippo Fiorelli,not awarded,Lilian Calmejane
8,Tadej Pogačar,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Decathlon–AG2R La Mondiale,Filippo Fiorelli,Filippo Fiorelli,Romain Bardet,Lilian Calmejane
9,Olav Kooij,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Decathlon–AG2R La Mondiale,Filippo Fiorelli,Kaden Groves,Mirco Maestri,Andrea Pietrobon
10,Valentin Paret-Peintre,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Cian Uijtdebroeks,Decathlon–AG2R La Mondiale,Filippo Fiorelli,Filippo Fiorelli,Jan Tratnik,Andrea Pietrobon
11,Jonathan Milan,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Filippo Fiorelli,Filippo Fiorelli,Edoardo Affini,Andrea Pietrobon
12,Julian Alaphilippe,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Julian Alaphilippe,Filippo Fiorelli,Julian Alaphilippe,Andrea Pietrobon
13,Jonathan Milan,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Andrea Pietrobon,Andrea Pietrobon
14,Filippo Ganna,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Ineos Grenadiers,Andrea Pietrobon,Filippo Fiorelli,not awarded,Andrea Pietrobon
15,Tadej Pogačar,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Ineos Grenadiers,Andrea Pietrobon,Filippo Fiorelli,Nairo Quintana,Andrea Pietrobon
16,Tadej Pogačar,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Julian Alaphilippe,Andrea Pietrobon
17,Georg Steinhauser,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Nairo Quintana,Andrea Pietrobon
18,Tim Merlier,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Mirco Maestri,Andrea Pietrobon
19,Andrea Vendrame,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Julian Alaphilippe,Filippo Fiorelli,Julian Alaphilippe,Andrea Pietrobon
20,Tadej Pogačar,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Giulio Pellizzari,Andrea Pietrobon
21,Tim Merlier,Tadej Pogačar,Jonathan Milan,Tadej Pogačar[c],Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Ewen Costiou,Andrea Pietrobon
Final,Final,Tadej Pogačar,Jonathan Milan,Tadej Pogačar,Antonio Tiberi,Decathlon–AG2R La Mondiale,Andrea Pietrobon,Filippo Fiorelli,Julian Alaphilippe,Andrea Pietrobon
